iso3,bloc
ALB,CEFTA
DZA,AfCFTA
AGO,AfCFTA
ARG,Mercosur
AUS,RCEP
AUT,EU
BRB,CARICOM
BEL,EU
BEN,AfCFTA
BOL,Andean
BIH,CEFTA
BWA,AfCFTA
BRA,Mercosur
BRN,RCEP
BGR,EU
BFA,AfCFTA
BDI,AfCFTA
CPV,AfCFTA
KHM,RCEP
CMR,AfCFTA
CAN,USMCA
CAF,AfCFTA
TCD,AfCFTA
CHN,RCEP
COL,Andean
COM,AfCFTA
COG,AfCFTA
CIV,AfCFTA
HRV,EU
CYP,EU
CZE,EU
COD,AfCFTA
DNK,EU
DJI,AfCFTA
EGY,AfCFTA
GNQ,AfCFTA
ERI,AfCFTA
EST,EU
SWZ,AfCFTA
ETH,AfCFTA
FIN,EU
FRA,EU
GAB,AfCFTA
GMB,AfCFTA
DEU,EU
GHA,AfCFTA
GRC,EU
GIN,AfCFTA
GNB,AfCFTA
HUN,EU
ISL,EFTA
IDN,RCEP
IRL,EU
ITA,EU
JAM,CARICOM
JPN,RCEP
KEN,AfCFTA
KOR,RCEP
KWT,GCC
LAO,RCEP
LVA,EU
LSO,AfCFTA
LBR,AfCFTA
LBY,AfCFTA
LIE,EFTA
LTU,EU
LUX,EU
MDG,AfCFTA
MWI,AfCFTA
MYS,RCEP
MLI,AfCFTA
MLT,EU
MRT,AfCFTA
MUS,AfCFTA
MEX,USMCA
MDA,CEFTA
MNE,CEFTA
MAR,AfCFTA
MOZ,AfCFTA
MMR,RCEP
NAM,AfCFTA
NLD,EU
NZL,RCEP
NER,AfCFTA
NGA,AfCFTA
MKD,CEFTA
NOR,EFTA
OMN,GCC
PRY,Mercosur
PER,Andean
PHL,RCEP
POL,EU
PRT,EU
QAT,GCC
ROU,EU
RWA,AfCFTA
SAU,GCC
SEN,AfCFTA
SRB,CEFTA
SYC,AfCFTA
SLE,AfCFTA
SGP,RCEP
SVK,EU
SVN,EU
SOM,AfCFTA
ZAF,AfCFTA
SSD,AfCFTA
ESP,EU
SDN,AfCFTA
SWE,EU
CHE,EFTA
TZA,AfCFTA
THA,RCEP
TGO,AfCFTA
TTO,CARICOM
TUN,AfCFTA
UGA,AfCFTA
ARE,GCC
URY,Mercosur
VNM,RCEP
ZMB,AfCFTA
ZWE,AfCFTA
USA,USMCA
BHR,GCC